"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103","TC-24: Пустой ID в пути — сервер не должен вернуть 200","","2026-04-20","passed","2026-04-20","","GetItemSuite","",""
"","108","TC-11: Создание с нечисловым sellerID (строка) → 400","","2026-04-20","passed","2026-04-20","","CreateItemSuite","",""
"","117","TC-15: Каждый элемент списка содержит все обязательные поля","","2026-04-20","passed","2026-04-20","","GetSellerItemsSuite","",""
"","112","TC-08: Создание без обязательного поля sellerID → 400","","2026-04-20","passed","2026-04-20","","CreateItemSuite","",""
"","115","TC-28: Нулевые значения статистики возвращаются корректно","","2026-04-20","failed","2026-04-20","","GetStatisticsSuite","",""
"","115","TC-14: Успешное получение всех объявлений продавца","","2026-04-20","passed","2026-04-20","","GetSellerItemsSuite","",""
"","105","TC-27: GET /statistic/:id идемпотентен","","2026-04-20","failed","2026-04-20","","GetStatisticsSuite","",""
"","109","TC-18: Строковый sellerID (не число) → 400","","2026-04-20","passed","2026-04-20","","GetSellerItemsSuite","",""
"","106","TC-06: Создание без обязательного поля name → 400","","2026-04-20","passed","2026-04-20","","CreateItemSuite","",""
"","110","TC-31: E2E — создать объявление и убедиться что статистика совпадает","","2026-04-20","failed","2026-04-20","","GetStatisticsSuite","",""
"","127","TC-33: Удаление по несуществующему UUID → 404","","2026-04-20","passed","2026-04-20","","DeleteItemSuite","",""
"","215","TC-05: Несколько объявлений с одним sellerID создаются независимо","","2026-04-20","failed","2026-04-20","","CreateItemSuite","",""
"","109","TC-04: Создание объявления с name длиной 255 символов","","2026-04-20","failed","2026-04-20","","CreateItemSuite","",""
"","138","TC-01: Успешное создание объявления с валидными данными","","2026-04-20","failed","2026-04-20","","CreateItemSuite","",""
"","226","TC-32: Успешное удаление существующего объявления","","2026-04-20","failed","2026-04-20","","DeleteItemSuite","",""
"","112","TC-15: Создание с отрицательным sellerID → 400","","2026-04-20","failed","2026-04-20","","CreateItemSuite","",""
"","106","TC-19: Успешное получение существующего объявления","","2026-04-20","failed","2026-04-20","","GetItemSuite","",""
"","120","TC-35: E2E — создать → удалить → убедиться что объявление недоступно","","2026-04-20","failed","2026-04-20","","DeleteItemSuite","",""
"","110","TC-14: Создание с отрицательными значениями statistics → 400","","2026-04-20","failed","2026-04-20","","CreateItemSuite","",""
"","108","TC-25: Успешное получение статистики по существующему ID","","2026-04-20","failed","2026-04-20","","GetStatisticsSuite","",""
"","111","TC-20: GET /item/:id идемпотентен","","2026-04-20","failed","2026-04-20","","GetItemSuite","",""
"","112","TC-03: Создание с нулевыми значениями допустимых полей (price, statistics)","","2026-04-20","failed","2026-04-20","","CreateItemSuite","",""
"","108","TC-21: Content-Type ответа — application/json","","2026-04-20","failed","2026-04-20","","GetItemSuite","",""
"","118","TC-16: Создание с недокументированным именем поля sellerId → 400","","2026-04-20","failed","2026-04-20","","CreateItemSuite","",""
"","132","TC-34: Удаление по невалидному ID → 400","","2026-04-20","passed","2026-04-20","","DeleteItemSuite","",""
"","107","TC-29: Статистика по несуществующему UUID → 404","","2026-04-20","passed","2026-04-20","","GetStatisticsSuite","",""
"","118","TC-17: Продавец без объявлений возвращает пустой список","","2026-04-20","passed","2026-04-20","","GetSellerItemsSuite","",""
"","112","TC-23: Получение по невалидному ID (не UUID) → 400","","2026-04-20","passed","2026-04-20","","GetItemSuite","",""
"","221","TC-02: Каждое созданное объявление получает уникальный ID","","2026-04-20","failed","2026-04-20","","CreateItemSuite","",""
"","115","TC-13: Создание с пустым name → 400","","2026-04-20","passed","2026-04-20","","CreateItemSuite","",""
"","121","TC-30: Статистика по невалидному ID → 400","","2026-04-20","passed","2026-04-20","","GetStatisticsSuite","",""
"","220","TC-36: Повторное удаление одного объявления → 404","","2026-04-20","failed","2026-04-20","","DeleteItemSuite","",""
"","117","TC-22: Получение по несуществующему UUID → 404","","2026-04-20","passed","2026-04-20","","GetItemSuite","",""
"","235","TC-16: GET /:sellerID/item идемпотентен","","2026-04-20","passed","2026-04-20","","GetSellerItemsSuite","",""
"","110","TC-26: Значения статистики совпадают с переданными при создании","","2026-04-20","failed","2026-04-20","","GetStatisticsSuite","",""
"","123","TC-09: Создание с отрицательной ценой → 400","","2026-04-20","failed","2026-04-20","","CreateItemSuite","",""
"","111","TC-07: Создание без обязательного поля price → 400","","2026-04-20","passed","2026-04-20","","CreateItemSuite","",""
"","105","TC-10: Создание с пустым телом запроса → 400","","2026-04-20","passed","2026-04-20","","CreateItemSuite","",""
"","405","TC-12: Создание с нечисловым price (строка) → 400","","2026-04-20","passed","2026-04-20","","CreateItemSuite","",""
